source_id,file_name,catalog_family,description,page_count
src-dermocosmetica,FF_Dermocosm_tica.pdf,Dermocosmética,Ficha técnica del catálogo facilitado,172
src-salud-bienestar,FF_Salud_y_Bienestar___DYNA.pdf,Salud y bienestar,Ficha técnica del catálogo facilitado,215
